crude version 0.62, Copyright (C) 1999 Juha Laine and Sampo Saaristo
crude comes with ABSOLUTELY NO WARRANTY!
This is free software, and you are welcome to redistribute it
under GNU GENERAL PUBLIC LICENSE Version 2.
ID=30 SEQ=0 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936731.909695 Rx=1109936731.909734 SIZE=1472
ID=30 SEQ=1 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936731.919555 Rx=1109936731.919576 SIZE=1472
ID=30 SEQ=2 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936731.929555 Rx=1109936731.929568 SIZE=1472
ID=30 SEQ=3 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936731.939555 Rx=1109936731.939562 SIZE=1472
ID=30 SEQ=4 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936731.949555 Rx=1109936731.949557 SIZE=1472
ID=30 SEQ=5 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936731.959555 Rx=1109936731.959551 SIZE=1472
ID=30 SEQ=6 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936731.969555 Rx=1109936731.969545 SIZE=1472
ID=30 SEQ=7 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936731.979555 Rx=1109936731.979539 SIZE=1472
ID=30 SEQ=8 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936731.989555 Rx=1109936731.989533 SIZE=1472
ID=30 SEQ=9 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936731.999555 Rx=1109936731.999528 SIZE=1472
ID=30 SEQ=10 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.009555 Rx=1109936732.009521 SIZE=1472
ID=30 SEQ=11 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.019555 Rx=1109936732.019515 SIZE=1472
ID=30 SEQ=12 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.029555 Rx=1109936732.029509 SIZE=1472
ID=30 SEQ=13 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.039555 Rx=1109936732.039503 SIZE=1472
ID=30 SEQ=14 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.049555 Rx=1109936732.049498 SIZE=1472
ID=30 SEQ=15 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.059555 Rx=1109936732.059492 SIZE=1472
ID=30 SEQ=16 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.069555 Rx=1109936732.069486 SIZE=1472
ID=30 SEQ=17 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.079555 Rx=1109936732.079481 SIZE=1472
ID=30 SEQ=18 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.089555 Rx=1109936732.089474 SIZE=1472
ID=30 SEQ=19 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.099555 Rx=1109936732.099468 SIZE=1472
ID=30 SEQ=20 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.109555 Rx=1109936732.109463 SIZE=1472
ID=30 SEQ=21 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.119555 Rx=1109936732.119456 SIZE=1472
ID=30 SEQ=22 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.129555 Rx=1109936732.129451 SIZE=1472
